Poem Name_SN,Poem Name_EN,Poet_SN,Poet_EN,Year,Line,Metaphor present or not,Count of the metaphor,Target domain,Source domain,Metaphorical term
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,උඹට පුතේ සුව එළවේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,ලස්සන මෙන්‌ මහ පොළවේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,අනුරාපුර ඉදි කෙරුවේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,ජාතික රණ දෙරණ මතේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,ගැටී වැටී මළ මොහොතේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,නැළවෙන බව සිතනු පුතේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,සිරි මහ බෝ සිඹිමින්නේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,මහමෙවුනා පෙදෙසින්නේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,මුටසිව රජු සිහිවෙන්නේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,ලක්‌ වැසියන්‌ කෙරෙගි නැමී,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,අරහත්‌ මහ මිහිදු හිමි,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,පුත නුඹටත්‌ පොවමි එළු මී,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,එදා පටන්‌ මෙසිරි ලකේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,මිසදුටු විසකටු නො රැකේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,ඉගෙන ගනින්‌ මගේ පුතේ,no,0,-,-,-
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,අප පියතිස්‌ නරනිඳු වේ,no,0,-,-,-
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,හෙට ඉඳි වන නව ලෝකය දක දක,no,0,-,-,-
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,පුංචි පුතා හීනෙන්‌ හිනැහෙයි,no,0,-,-,-
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,දහසක්‌ වැච්‌ බැඳි යෝධ මිනිස්‌ කැල,no,0,-,-,-
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,යළි ඉපදී ඇති මවු දෙරණේ,no,0,-,-,-
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,පුතුගෙ සිනාවෙනි ඔප වැටුණේ,no,0,-,-,-
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,දෑසේ කඳුළැලි පිසදා බලනෙමි,no,0,-,-,-
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,හෙට හිරු එළියට වඩින දිනේ,no,0,-,-,-
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,ණය නැති බිය නැති නිවහල්‌ යුගයක,no,0,-,-,-
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,ඒ ගත වෙහෙස ම සතුටක්‌ වෙයි මට,no,0,-,-,-
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,ඔබ සිහි වචන විට පුංචි පුතුන්‌,no,0,-,-,-
